model,parameters,explained_variance_score,r2_score,mean_absolute_error,mean_squared_error
LinearRegression,"kernel=rbf
C=100
gamma=0.1
epsilon=0.1",0.7113071046466903,0.711226005748494,3.1627098714573982,21.517444231177144
BayesianRidge,"kernel=rbf
C=100
gamma=0.1
epsilon=0.1",0.6950656134544864,0.6949628007414406,3.2590787582004066,22.729265980107538
SVR,"kernel=rbf
C=100
gamma=0.1
epsilon=0.1",0.06435493864950725,0.03249506926428958,6.111057191839056,72.09178736629256
RandomForestRegressor,"kernel=rbf
C=100
gamma=0.1
epsilon=0.1",0.8732859082407662,0.8730979148657706,2.102986842105264,9.45586719736843
GradientBoostingRegressor,"kernel=rbf
C=100
gamma=0.1
epsilon=0.1",0.8935390110123334,0.8931307252973226,2.041258598797482,7.963160479189237
